GID	COG	COG_Name	COG_Class
62	MD00G1009300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
63	MD00G1009500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
64	MD00G1009600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
65	MD00G1009700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
66	MD00G1009800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
67	MD00G1009900	S	( S ) Function unknown	POORLY CHARACTERIZED
68	MD00G1010000	S	( S ) Function unknown	POORLY CHARACTERIZED
69	MD00G1010100	S	( S ) Function unknown	POORLY CHARACTERIZED
70	MD00G1010200	S	( S ) Function unknown	POORLY CHARACTERIZED
71	MD00G1010300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
72	MD00G1010400	E	( E ) Amino acid transport and metabolism	METABOLISM
73	MD00G1010600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
74	MD00G1011000	S	( S ) Function unknown	POORLY CHARACTERIZED
75	MD00G1011100	S	( S ) Function unknown	POORLY CHARACTERIZED
76	MD00G1011200	S	( S ) Function unknown	POORLY CHARACTERIZED
77	MD00G1011300	S	( S ) Function unknown	POORLY CHARACTERIZED
78	MD00G1011500	S	( S ) Function unknown	POORLY CHARACTERIZED
79	MD00G1011700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
80	MD00G1011900	S	( S ) Function unknown	POORLY CHARACTERIZED
81	MD00G1012100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
82	MD00G1012200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
83	MD00G1012300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
84	MD00G1012400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
85	MD00G1012600	S	( S ) Function unknown	POORLY CHARACTERIZED
86	MD00G1012800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
87	MD00G1012900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
88	MD00G1013000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
89	MD00G1013300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
90	MD00G1013500	S	( S ) Function unknown	POORLY CHARACTERIZED
91	MD00G1013600	W	( W ) Extracellular structures	CELLULAR PROCESSES AND SIGNALING
92	MD00G1013800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
93	MD00G1013900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
94	MD00G1014300	S	( S ) Function unknown	POORLY CHARACTERIZED
95	MD00G1014800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
96	MD00G1014900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
97	MD00G1015000	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
98	MD00G1015100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
99	MD00G1015500	H	( H ) Coenzyme transport and metabolism	METABOLISM
100	MD00G1015600	C	( C ) Energy production and conversion	METABOLISM
101	MD00G1015700	C	( C ) Energy production and conversion	METABOLISM
102	MD00G1015800	S	( S ) Function unknown	POORLY CHARACTERIZED
103	MD00G1016200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
104	MD00G1016400	S	( S ) Function unknown	POORLY CHARACTERIZED
105	MD00G1016500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
106	MD00G1016700	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
107	MD00G1016800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
108	MD00G1016900	S	( S ) Function unknown	POORLY CHARACTERIZED
109	MD00G1017000	S	( S ) Function unknown	POORLY CHARACTERIZED
110	MD00G1017100	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
111	MD00G1017300	I	( I ) Lipid transport and metabolism	METABOLISM
112	MD00G1017400	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
113	MD00G1017500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
114	MD00G1017600	P	( P ) Inorganic ion transport and metabolism	METABOLISM
115	MD00G1018200	C	( C ) Energy production and conversion	METABOLISM
116	MD00G1018200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
117	MD00G1018400	S	( S ) Function unknown	POORLY CHARACTERIZED
118	MD00G1018600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
119	MD00G1018700	C	( C ) Energy production and conversion	METABOLISM
120	MD00G1018800	C	( C ) Energy production and conversion	METABOLISM
121	MD00G1018900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
122	MD00G1019100	C	( C ) Energy production and conversion	METABOLISM
123	MD00G1019200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
124	MD00G1019200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
125	MD00G1019700	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
126	MD00G1019800	S	( S ) Function unknown	POORLY CHARACTERIZED
127	MD00G1020000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
128	MD00G1020100	S	( S ) Function unknown	POORLY CHARACTERIZED
129	MD00G1020200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
130	MD00G1020300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
131	MD00G1020400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
132	MD00G1020500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
133	MD00G1020600	S	( S ) Function unknown	POORLY CHARACTERIZED
134	MD00G1020700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
135	MD00G1021100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
136	MD00G1021300	S	( S ) Function unknown	POORLY CHARACTERIZED
137	MD00G1021400	S	( S ) Function unknown	POORLY CHARACTERIZED
138	MD00G1021500	S	( S ) Function unknown	POORLY CHARACTERIZED
139	MD00G1021600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
140	MD00G1021800	S	( S ) Function unknown	POORLY CHARACTERIZED
141	MD00G1022000	S	( S ) Function unknown	POORLY CHARACTERIZED
142	MD00G1022100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
143	MD00G1022200	S	( S ) Function unknown	POORLY CHARACTERIZED
144	MD00G1022400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
145	MD00G1022500	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
146	MD00G1022600	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
147	MD00G1022700	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
148	MD00G1022900	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
149	MD00G1023000	S	( S ) Function unknown	POORLY CHARACTERIZED
150	MD00G1023100	S	( S ) Function unknown	POORLY CHARACTERIZED
151	MD00G1023300	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
152	MD00G1023500	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
153	MD00G1023600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
154	MD00G1023800	S	( S ) Function unknown	POORLY CHARACTERIZED
155	MD00G1024000	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
156	MD00G1024100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
157	MD00G1024200	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
158	MD00G1024400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
159	MD00G1024500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
160	MD00G1024600	S	( S ) Function unknown	POORLY CHARACTERIZED
161	MD00G1024800	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
162	MD00G1024900	S	( S ) Function unknown	POORLY CHARACTERIZED
163	MD00G1025200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
164	MD00G1025500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
165	MD00G1025600	I	( I ) Lipid transport and metabolism	METABOLISM
166	MD00G1025700	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
167	MD00G1025800	I	( I ) Lipid transport and metabolism	METABOLISM
168	MD00G1025900	S	( S ) Function unknown	POORLY CHARACTERIZED
169	MD00G1026000	S	( S ) Function unknown	POORLY CHARACTERIZED
170	MD00G1026100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
171	MD00G1026200	S	( S ) Function unknown	POORLY CHARACTERIZED
172	MD00G1026500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
173	MD00G1026700	I	( I ) Lipid transport and metabolism	METABOLISM
174	MD00G1026800	S	( S ) Function unknown	POORLY CHARACTERIZED
175	MD00G1026900	S	( S ) Function unknown	POORLY CHARACTERIZED
176	MD00G1027000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
177	MD00G1027100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
178	MD00G1027300	S	( S ) Function unknown	POORLY CHARACTERIZED
179	MD00G1027600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
180	MD00G1027700	S	( S ) Function unknown	POORLY CHARACTERIZED
181	MD00G1027800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
182	MD00G1027900	S	( S ) Function unknown	POORLY CHARACTERIZED
183	MD00G1028000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
184	MD00G1028200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
185	MD00G1028400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
186	MD00G1028500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
187	MD00G1028600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
188	MD00G1028700	S	( S ) Function unknown	POORLY CHARACTERIZED
189	MD00G1028800	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
190	MD00G1028900	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
191	MD00G1029000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
192	MD00G1029100	C	( C ) Energy production and conversion	METABOLISM
193	MD00G1029200	C	( C ) Energy production and conversion	METABOLISM
194	MD00G1029300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
195	MD00G1029400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
196	MD00G1030000	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
197	MD00G1030300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
198	MD00G1030400	S	( S ) Function unknown	POORLY CHARACTERIZED
199	MD00G1030500	S	( S ) Function unknown	POORLY CHARACTERIZED
200	MD00G1030600	P	( P ) Inorganic ion transport and metabolism	METABOLISM
201	MD00G1031100	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
202	MD00G1031200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
203	MD00G1031300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
204	MD00G1031500	S	( S ) Function unknown	POORLY CHARACTERIZED
205	MD00G1031600	S	( S ) Function unknown	POORLY CHARACTERIZED
206	MD00G1031700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
207	MD00G1031800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
208	MD00G1031900	S	( S ) Function unknown	POORLY CHARACTERIZED
209	MD00G1032200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
210	MD00G1032300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
211	MD00G1032400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
212	MD00G1032500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
213	MD00G1032600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
214	MD00G1032700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
215	MD00G1033000	I	( I ) Lipid transport and metabolism	METABOLISM
216	MD00G1033100	I	( I ) Lipid transport and metabolism	METABOLISM
217	MD00G1033400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
218	MD00G1033500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
219	MD00G1033600	S	( S ) Function unknown	POORLY CHARACTERIZED
220	MD00G1033700	S	( S ) Function unknown	POORLY CHARACTERIZED
221	MD00G1033800	I	( I ) Lipid transport and metabolism	METABOLISM
222	MD00G1033900	I	( I ) Lipid transport and metabolism	METABOLISM
223	MD00G1034000	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
224	MD00G1034600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
225	MD00G1034800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
226	MD00G1034800	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
227	MD00G1034900	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
228	MD00G1035000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
229	MD00G1035100	S	( S ) Function unknown	POORLY CHARACTERIZED
230	MD00G1035200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
231	MD00G1035300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
232	MD00G1035400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
233	MD00G1035900	C	( C ) Energy production and conversion	METABOLISM
234	MD00G1036100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
235	MD00G1036200	S	( S ) Function unknown	POORLY CHARACTERIZED
236	MD00G1036300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
237	MD00G1036600	S	( S ) Function unknown	POORLY CHARACTERIZED
238	MD00G1036700	S	( S ) Function unknown	POORLY CHARACTERIZED
239	MD00G1036800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
240	MD00G1037000	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
241	MD00G1037100	E	( E ) Amino acid transport and metabolism	METABOLISM
242	MD00G1037400	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
243	MD00G1037500	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
244	MD00G1037600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
245	MD00G1037700	S	( S ) Function unknown	POORLY CHARACTERIZED
246	MD00G1038100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
247	MD00G1038200	S	( S ) Function unknown	POORLY CHARACTERIZED
248	MD00G1038300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
249	MD00G1038400	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
250	MD00G1038600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
251	MD00G1038700	S	( S ) Function unknown	POORLY CHARACTERIZED
252	MD00G1038800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
253	MD00G1038900	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
254	MD00G1039300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
255	MD00G1039400	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
256	MD00G1039500	S	( S ) Function unknown	POORLY CHARACTERIZED
257	MD00G1039600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
258	MD00G1039900	S	( S ) Function unknown	POORLY CHARACTERIZED
259	MD00G1040000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
260	MD00G1040200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
261	MD00G1040300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
262	MD00G1040400	S	( S ) Function unknown	POORLY CHARACTERIZED
263	MD00G1040500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
264	MD00G1040600	S	( S ) Function unknown	POORLY CHARACTERIZED
265	MD00G1040900	I	( I ) Lipid transport and metabolism	METABOLISM
266	MD00G1041000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
267	MD00G1041100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
268	MD00G1041200	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
269	MD00G1041300	S	( S ) Function unknown	POORLY CHARACTERIZED
270	MD00G1041900	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
271	MD00G1042000	P	( P ) Inorganic ion transport and metabolism	METABOLISM
272	MD00G1043300	S	( S ) Function unknown	POORLY CHARACTERIZED
273	MD00G1043400	S	( S ) Function unknown	POORLY CHARACTERIZED
274	MD00G1043500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
275	MD00G1043700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
276	MD00G1043800	I	( I ) Lipid transport and metabolism	METABOLISM
277	MD00G1043900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
278	MD00G1044000	S	( S ) Function unknown	POORLY CHARACTERIZED
279	MD00G1044100	S	( S ) Function unknown	POORLY CHARACTERIZED
280	MD00G1044200	C	( C ) Energy production and conversion	METABOLISM
281	MD00G1044500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
282	MD00G1044800	I	( I ) Lipid transport and metabolism	METABOLISM
283	MD00G1044900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
284	MD00G1045000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
285	MD00G1045100	I	( I ) Lipid transport and metabolism	METABOLISM
286	MD00G1045200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
287	MD00G1045300	S	( S ) Function unknown	POORLY CHARACTERIZED
288	MD00G1045500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
289	MD00G1045600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
290	MD00G1045700	S	( S ) Function unknown	POORLY CHARACTERIZED
291	MD00G1045800	S	( S ) Function unknown	POORLY CHARACTERIZED
292	MD00G1046000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
293	MD00G1046200	C	( C ) Energy production and conversion	METABOLISM
294	MD00G1046200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
295	MD00G1046300	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
296	MD00G1046400	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
297	MD00G1046700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
298	MD00G1047100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
299	MD00G1047200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
300	MD00G1047400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
301	MD00G1047600	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
302	MD00G1047900	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
303	MD00G1048000	S	( S ) Function unknown	POORLY CHARACTERIZED
304	MD00G1048100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
305	MD00G1048300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
306	MD00G1048400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
307	MD00G1048800	C	( C ) Energy production and conversion	METABOLISM
308	MD00G1048900	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
309	MD00G1048900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
310	MD00G1049000	H	( H ) Coenzyme transport and metabolism	METABOLISM
311	MD00G1049100	S	( S ) Function unknown	POORLY CHARACTERIZED
312	MD00G1049200	P	( P ) Inorganic ion transport and metabolism	METABOLISM
313	MD00G1049400	S	( S ) Function unknown	POORLY CHARACTERIZED
314	MD00G1049500	S	( S ) Function unknown	POORLY CHARACTERIZED
315	MD00G1049600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
316	MD00G1049700	P	( P ) Inorganic ion transport and metabolism	METABOLISM
317	MD00G1049800	S	( S ) Function unknown	POORLY CHARACTERIZED
318	MD00G1050100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
319	MD00G1050200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
320	MD00G1050400	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
321	MD00G1050500	E	( E ) Amino acid transport and metabolism	METABOLISM
322	MD00G1050700	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
323	MD00G1050800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
324	MD00G1051200	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
