GID	COG	COG_Name	COG_Class
MD00G1005700	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1005800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1006000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1006100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1006200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1006400	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD00G1006500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1006600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1006700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1006800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1006900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1007000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1007100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1007200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1007300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1007500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1007600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1007700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1007800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1007900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1008100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1008200	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD00G1008400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1008500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1008600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1008700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1008800	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1009000	E	( E ) Amino acid transport and metabolism	METABOLISM
MD00G1009300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1009500	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1009600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1009700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1009800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1009900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1010000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1010100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1010200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1010300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1010400	E	( E ) Amino acid transport and metabolism	METABOLISM
MD00G1010600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1011000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1011100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1011200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1011300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1011500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1011700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1011900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1012100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1012200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1012300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1012400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1012600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1012800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1012900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1013000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1013300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1013500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1013600	W	( W ) Extracellular structures	CELLULAR PROCESSES AND SIGNALING
MD00G1013800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1013900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1014300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1014800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1014900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1015000	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1015100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1015500	H	( H ) Coenzyme transport and metabolism	METABOLISM
MD00G1015600	C	( C ) Energy production and conversion	METABOLISM
MD00G1015700	C	( C ) Energy production and conversion	METABOLISM
MD00G1015800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1016200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1016400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1016500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1016700	D	( D ) Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
MD00G1016800	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1016900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1017000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1017100	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD00G1017300	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1017400	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD00G1017500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1017600	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1018200	C	( C ) Energy production and conversion	METABOLISM
MD00G1018200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1018400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1018600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1018700	C	( C ) Energy production and conversion	METABOLISM
MD00G1018800	C	( C ) Energy production and conversion	METABOLISM
MD00G1018900	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD00G1019100	C	( C ) Energy production and conversion	METABOLISM
MD00G1019200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1019200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1019700	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1019800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1020000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1020100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1020200	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1020300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1020400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1020500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1020600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1020700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1021100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1021300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1021400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1021500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1021600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1021800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1022000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1022100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1022200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1022400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1022500	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
MD00G1022600	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
MD00G1022700	M	( M ) Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
MD00G1022900	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD00G1023000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1023100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1023300	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1023500	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1023600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1023800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1024000	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD00G1024100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD00G1024200	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1024400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1024500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1024600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1024800	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1024900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1025200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1025500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1025600	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1025700	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD00G1025800	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1025900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1026000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1026100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1026200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1026500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1026700	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1026800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1026900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1027000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1027100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1027300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1027600	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1027700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1027800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1027900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1028000	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1028200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1028400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1028500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1028600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1028700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1028800	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD00G1028900	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1029000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1029100	C	( C ) Energy production and conversion	METABOLISM
MD00G1029200	C	( C ) Energy production and conversion	METABOLISM
MD00G1029300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1029400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1030000	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD00G1030300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1030400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1030500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1030600	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1031100	L	( L ) Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
MD00G1031200	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1031300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1031500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1031600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1031700	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1031800	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1031900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1032200	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1032300	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1032400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1032500	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1032600	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1032700	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1033000	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1033100	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1033400	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1033500	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1033600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1033700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1033800	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1033900	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1034000	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1034600	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1034800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1034800	Y	( Y ) Nuclear structure	CELLULAR PROCESSES AND SIGNALING
MD00G1034900	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1035000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1035100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1035200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1035300	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1035400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1035900	C	( C ) Energy production and conversion	METABOLISM
MD00G1036100	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1036200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1036300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1036600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1036700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1036800	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1037000	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD00G1037100	E	( E ) Amino acid transport and metabolism	METABOLISM
MD00G1037400	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1037500	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1037600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1037700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1038100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1038200	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1038300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1038400	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1038600	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1038700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1038800	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1038900	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1039300	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1039400	V	( V ) Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1039500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1039600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1039900	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1040000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1040200	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1040300	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1040400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1040500	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1040600	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1040900	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1041000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1041100	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1041200	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD00G1041300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1041900	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD00G1042000	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1043300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1043400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1043500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1043700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1043800	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1043900	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1044000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1044100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1044200	C	( C ) Energy production and conversion	METABOLISM
MD00G1044500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1044800	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1044900	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1045000	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1045100	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1045200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1045300	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1045500	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1045600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1045700	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1045800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1046000	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1046200	C	( C ) Energy production and conversion	METABOLISM
MD00G1046200	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1046300	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1046400	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1046700	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1047100	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD00G1047200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1047400	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1047600	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD00G1047900	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1048000	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1048100	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1048300	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1048400	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1048800	C	( C ) Energy production and conversion	METABOLISM
MD00G1048900	B	( B ) Chromatin structure and dynamics	INFORMATION STORAGE AND PROCESSING
MD00G1048900	K	( K ) Transcription	INFORMATION STORAGE AND PROCESSING
MD00G1049000	H	( H ) Coenzyme transport and metabolism	METABOLISM
MD00G1049100	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1049200	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1049400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1049500	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1049600	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1049700	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1049800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1050100	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1050200	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1050400	Z	( Z ) Cytoskeleton	CELLULAR PROCESSES AND SIGNALING
MD00G1050500	E	( E ) Amino acid transport and metabolism	METABOLISM
MD00G1050700	A	( A ) RNA processing and modification	INFORMATION STORAGE AND PROCESSING
MD00G1050800	T	( T ) Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
MD00G1051200	J	( J ) Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
MD00G1051300	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1051400	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1051500	P	( P ) Inorganic ion transport and metabolism	METABOLISM
MD00G1051800	S	( S ) Function unknown	POORLY CHARACTERIZED
MD00G1051900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1052000	I	( I ) Lipid transport and metabolism	METABOLISM
MD00G1052100	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1052400	O	( O ) Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
MD00G1052500	C	( C ) Energy production and conversion	METABOLISM
MD00G1052600	Q	( Q ) Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
MD00G1052700	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1052800	U	( U ) Intracellular trafficking, secretion, and vesicular transpor	CELLULAR PROCESSES AND SIGNALINGt
MD00G1052900	C	( C ) Energy production and conversion	METABOLISM
MD00G1052900	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1053000	C	( C ) Energy production and conversion	METABOLISM
MD00G1053000	G	( G ) Carbohydrate transport and metabolism	METABOLISM
MD00G1053100	C	( C ) Energy production and conversion	METABOLISM
